1845-7	28020.0	26358.0	43384	1943
1845-8	25182.0	23502.0	40911	1921
1845-9	32559.0	30573.0	51584	2377
1845-10	25509.0	23968.0	39719	1967
1845-11	23845.0	22440.0	37789	1795
1845-12	28889.0	27094.0	44718	2330
1846-1	22587.0	21098.0	35619	1669
1846-2	21253.0	20000.0	33724	1499
1846-3	21720.0	20455.0	34426	1362
1846-4	21636.0	20335.0	34785	1199
1846-5	22676.0	21403.0	36086	1345
1846-6	27442.0	25825.0	44647	1689
1846-7	30064.0	28226.0	50933	1906
1846-8	20795.0	19562.0	34485	1211
1846-9	22942.0	21658.0	36213	1440
1846-10	21411.0	20133.0	34451	1318
1846-11	22425.0	21001.0	37652	1404
1846-12	23399.0	21880.0	39462	1520
1847-1	25029.0	23190.0	43853	1662
1847-2	20573.0	19043.0	37592	1467
1847-3	26543.0	24606.0	47625	1798
1847-4	24200.0	22430.0	42841	1702
1847-5	17648.0	16611.0	27501	1154
1847-6	20231.0	18945.0	33804	1353
1847-7	19229.0	17916.0	33173	1369
1847-8	19218.0	17909.0	32333	1397
1847-9	16864.0	15768.0	27427	1304
1847-10	26695.0	24755.0	46040	1864
1847-11	23670.0	21922.0	41320	1638
1847-12	25158.0	23412.0	42342	1954
1848-1	19049.0	17763.0	31573	1382
1848-2	23109.0	21454.0	40539	1716
1848-3	17747.0	16647.0	29034	1272
1848-4	20897.0	19419.0	36459	1568
1848-5	20798.0	19329.0	35934	1585
1848-6	20764.0	19264.0	37115	1644
1848-7	18483.0	17214.0	32280	1303
1848-8	20799.0	19379.0	36458	1569
1848-9	23126.0	21482.0	40689	1529
1848-10	21465.0	19970.0	37307	1437
1848-11	24238.0	22530.0	42855	1807
1848-12	24898.0	23272.0	41052	1861
1849-1	24319.0	22665.0	39503	2123
1849-2	20354.0	18897.0	35002	1552
1849-3	24753.0	23068.0	41949	1949
1849-4	22018.0	20613.0	36341	1696
1849-5	24906.0	23260.0	41980	1822
1849-6	25107.0	23434.0	42593	1856
1849-7	21956.0	20613.0	35059	1523
1849-8	24593.0	22837.0	42293	1955
1849-9	19082.0	17843.0	31473	1404
1849-10	22301.0	20584.0	37868	1737
1849-11	24072.0	22412.0	40487	1847
1849-12	16984.0	15906.0	27031	1373
1850-1	16218.0	15055.0	28233	1366
1850-2	16601.0	15429.0	29017	1311
1850-3	27487.0	24833.0	56896	2365
1850-4	27280.0	24583.0	60096	2442
1850-5	23271.0	21297.0	45810	1863
1850-6	25841.0	23874.0	45997	2136
1850-7	55541.0	51535.0	98667	4481
1850-8	56566.0	52299.0	103453	4647
1850-9	51240.0	47166.0	96931	3744
1850-10	46358.0	42887.0	82993	3649
1850-11	48568.0	44836.0	88139	4004
1850-12	48744.0	45069.0	87569	3842
1851-1	45131.0	42208.0	77141	3147
1851-2	52390.0	48689.0	94617	3641
1851-3	47394.0	44042.0	83682	3408
1851-4	52517.0	48269.0	98951	4216
1851-5	54550.0	50463.0	98546	4138
1851-6	53457.0	49127.0	104061	3990
1851-7	55777.0	51022.0	113086	4308
1851-8	49813.0	46099.0	90217	4858
1851-9	42767.0	40148.0	69290	3197
1851-10	43649.0	40844.0	73309	3408
1851-11	38198.0	35163.0	71376	3149
1851-12	27981.0	25949.0	47986	2332
1852-1	56656.0	52262.0	105101	4714
1852-2	46090.0	42600.0	84896	3606
1852-3	36740.0	34176.0	63414	2725
1852-4	34570.0	32331.0	55775	2706
1852-5	32366.0	30123.0	53660	2607
1852-6	34956.0	31921.0	63572	3380
1852-7	60850.0	55269.0	121529	5404
1852-8	40529.0	37939.0	65721	2946
1852-9	41330.0	38438.0	72156	3238
1852-10	45528.0	40640.0	98159	4753
1852-11	47346.0	42635.0	99504	4688
1852-12	56866.0	51861.0	112525	5244
1853-1	31179.0	28934.0	53874	2490
1853-2	26934.0	25014.0	45924	2270
1853-3	36512.0	34052.0	62021	2673
1853-4	47687.0	43977.0	89209	3597
1853-5	43663.0	40046.0	85496	3211
1853-6	40287.0	37317.0	71775	2983
1853-9	38003.0	35308.0	67036	2795
1853-10	50486.0	45600.0	106775	4240
1853-11	50256.0	45098.0	109385	4486
1853-12	28524.0	26555.0	48563	2102
1854-1	43375.0	39650.0	85960	3426
1854-2	34657.0	31889.0	65965	2990
1854-3	45018.0	41793.0	76761	3673
1854-4	47949.0	44774.0	79908	3465
1854-5	46607.0	43026.0	84581	3975
1854-6	53780.0	48649.0	115403	4985
1854-7	52909.0	48730.0	98335	4246
1854-8	54619.0	50209.0	105022	4304
1854-9	48187.0	43784.0	95285	4298
1854-10	51881.0	47336.0	98528	4589
1854-11	40365.0	37056.0	74394	3746
1854-12	41787.0	38411.0	77660	3681
1855-1	50248.0	45731.0	100577	4618
1855-2	47875.0	44639.0	81791	3640
1855-3	51735.0	48313.0	87445	3703
1855-4	45464.0	42642.0	75283	3181
1855-5	50088.0	46816.0	86183	3536
1855-6	47176.0	43715.0	87788	3552
1855-7	47244.0	43648.0	88286	3574
1855-8	53937.0	49674.0	100842	4132
1855-9	49836.0	44353.0	118285	4251
1855-10	46104.0	42593.0	83422	3616
1855-11	48059.0	44640.0	83021	3868
1855-12	51721.0	47922.0	83953	5219
1856-1	67421.0	62070.0	124886	5856
1856-2	67531.0	62092.0	124223	6174
1856-3	61019.0	55979.0	113074	5747
1856-4	65267.0	59728.0	123598	6069
1856-5	74082.0	67444.0	143914	7160
1856-6	70963.0	65944.0	122268	5927
1856-7	73763.0	67279.0	145777	7163
1856-8	60672.0	56114.0	107324	5451
1856-9	69120.0	62170.0	147010	7151
1856-10	81668.0	73019.0	175125	8893
1856-11	65183.0	58692.0	127474	7130
1856-12	54751.0	49629.0	104348	6036
1857-1	52228.0	48183.0	91960	4821
1857-2	49449.0	45691.0	85904	4829
1857-3	62542.0	57556.0	110639	6260
1857-4	84480.0	76449.0	171995	7589
1857-5	99623.0	89654.0	210929	9294
1857-6	81217.0	73780.0	168802	6907
1857-7	71763.0	65576.0	137958	6548
1857-8	78624.0	71745.0	151971	6806
1857-9	75893.0	69526.0	146475	6487
1857-10	86328.0	79022.0	165451	7296
1857-11	77066.0	70392.0	147199	6373
1857-12	80786.0	74100.0	149992	7736
1858-1	57919.0	53539.0	99574	5611
1858-2	64728.0	59568.0	112473	6487
1858-3	57260.0	52721.0	98338	5542
1858-4	72045.0	66023.0	138182	6247
1858-5	75133.0	68484.0	146812	7103
1858-6	78816.0	71520.0	156430	7910
1858-7	80019.0	72177.0	152267	8982
1858-8	66902.0	60665.0	122983	7459
1858-9	67199.0	60553.0	132611	6967
1858-10	85308.0	76861.0	176059	8335
1858-11	90168.0	81618.0	185457	8414
1858-12	88682.0	80461.0	182706	8155
1859-1	11106.0	9336.0	22620	2580
1859-2	18971.0	16138.0	37981	4055
1859-3	10313.0	8783.0	19519	2423
1859-4	14989.0	12833.0	29019	3251
